"","start","end","mass","entrynames","ID"
"247",890,895,145.06479,"C10H8O$M+H",1
"248",895,902.5,180.04776,"C9H9NOS$M+H",1
"249",900,912.5,213.07947,"C10H13ClN2O$M+H#C10H13ClN2O$M+H",1
"250",907.5,912.5,297.13192,"C12H12N10$M+H",1
"251",910,925,114.9712,"C2H4Cl2O$M+H",1
"252",915,920,219.05694,"C12H11O2P$M+H#C13H11ClO$M+H",1
"253",915,930,301.07537,"C14H12N4O2S$M+H",1
"254",917.5,925,230.12879,"C13H15N3O$M+H",1
"255",917.5,922.5,278.08455,"C14H15NO3S$M+H",1
"256",920,925,186.0397,"C7H7NO5$M+H",1
"257",922.5,952.5,202.0854,"C7H12ClN5$M+H",1
"258",925,955,216.10105,"C8H14ClN5$M+H",1
"259",927.5,957.5,233.02429,"C9H10Cl2N2O$M+H",1
"260",927.5,960,280.133205,"C15H21NO4$M+H#C21H13N$M+H",1
"261",930,960,261.00553,"C9H9Cl2F3O$M+H",1
"262",952.5,957.5,257.07028,"C9H12N4O3S$M+H",1
"263",955,985,216.10105,"C8H14ClN5$M+H",1
"264",957.5,967.5,221.16484,"C13H20N2O$M+H",1
"265",957.5,987.5,280.15433,"C15H21NO4$M+H",1
"266",960,990,261.00553,"C9H9Cl2F3O$M+H",1
"267",960,965,301.07537,"C14H12N4O2S$M+H",1
"268",965,972.5,182.00927,"C8H7NS2$M+H",1
"269",967.5,982.5,174.0541,"C5H8ClN5$M+H",1
"270",972.5,985,288.2897,"C17H37NO2$M+H",1
"271",982.5,987.5,218.09757,"C13H12FNO$M+H",1
"272",985,1015,216.10105,"C8H14ClN5$M+H",1
"273",985,1007.5,436.23432,"C24H29N5O3$M+H",1
"274",987.5,992.5,206.15394,"C13H19NO$M+H",1
"275",987.5,995,221.16484,"C13H20N2O$M+H",1
"276",990,1020,161.98718,"C6H5Cl2N$M+H",1
"277",992.5,1027.5,259.00767,"C9H11BrN2O2$M+H#C9H11BrN2O2$M+H#C9H11BrN2O2$M+H",1
"278",995,1025,230.1167,"C9H16ClN5$M+H",1
"279",1007.5,1017.5,146.0228,"C3H4ClN5$M+H",1
"280",1015,1020,128.98684,"C3H6Cl2O$M+H",1
"281",1022.5,1032.5,215.09611,"C8H14N4OS$M+H",1
"282",1025,1032.5,104.04948,"C7H5N$M+H",1
"283",1025,1035,120.04439,"C7H5NO$M+H",1
"284",1025,1047.5,132.04439,"C8H5NO$M+H",1
"285",1030,1035,318.01349,"C10H12N3O3PS2$M+H#C13H7ClF3NO3$M+H",1
"286",1032.5,1062.5,249.01921,"C9H10Cl2N2O2$M+H",1
"287",1035,1065,182.00927,"C8H7NS2$M+H",1
"288",1035,1065,207.14919,"C12H18N2O$M+H",1
"289",1037.5,1045,241.10839,"C13H12N4O$M+H",1
"290",1045,1075,216.10105,"C8H14ClN5$M+H",1
"291",1052.5,1057.5,166.12264,"C10H15NO$M+H",1
"292",1057.5,1065,469.19826,"C26H24N6O3$M+H",1
"293",1062.5,1100,249.01921,"C9H10Cl2N2O2$M+H#C9H10Cl2N2O2$M+H",1
"294",1065,1105,207.14919,"C12H18N2O$M+H#C12H18N2O$M+H",1
"295",1067.5,1097.5,276.08195,"C12H18ClNO2S$M+H",1
"296",1067.5,1072.5,382.20128,"C23H27NO4$M+H",1
"297",1080,1085,279.1227,"C15H18O5$M+H",1
"298",1085,1115,230.1167,"C9H16ClN5$M+H",1
"299",1092.5,1097.5,342.31553,"C24H39N$M+H",1
"300",1097.5,1105,131.08553,"C10H10$M+H",1
"301",1097.5,1105,214.0418,"C13H8ClN$M+H",1
"302",1100,1105,280.01063,"C7H14NNaO3S3$M+H",1
"303",1105,1112.5,332.31592,"C19H41NO3$M+H",1
"304",1107.5,1140,114.9712,"C2H4Cl2O$M+H#C2H4Cl2O$M+H",1
"305",1107.5,1117.5,227.06374,"C13H10N2S$M+H",1
"306",1107.5,1112.5,286.08723,"C13H17Cl2N3$M+H",1
"307",1112.5,1117.5,371.32682,"C21H42N2O3$M+H",1
"308",1115,1120,216.10105,"C8H14ClN5$M+H",1
"309",1115,1145,230.1167,"C9H16ClN5$M+H",1
"310",1117.5,1122.5,202.0854,"C7H12ClN5$M+H",1
"311",1117.5,1122.5,249.01921,"C9H10Cl2N2O2$M+H",1
"312",1125,1137.5,332.31592,"C19H41NO3$M+H",1
"313",1127.5,1140,253.11828,"C12H16N2O4$M+H",1
"314",1127.5,1140,269.08554,"C14H12N4S$M+H",1
"315",1137.5,1142.5,302.23258,"C16H31NO4$M+H",1
"316",1142.5,1147.5,276.08195,"C12H18ClNO2S$M+H",1
"317",1145,1175,230.1167,"C9H16ClN5$M+H",1
"318",1145,1165,258.148,"C11H20ClN5$M+H",1
"319",1147.5,1155,224.11822,"C14H13N3$M+H",1
"320",1147.5,1162.5,259.14798,"C9H18N6O3$M+H#C15H18N2O2$M+H",1
"321",1147.5,1160,261.14852,"C16H20O3$M+H",1
"322",1157.5,1187.5,284.14118,"C15H22ClNO2$M+H",1
"323",1160,1165,282.17053,"C15H23NO4$M+H",1
"324",1167.5,1172.5,156.04036,"C5H5N3O3$M+H",1
"325",1167.5,1175,237.13862,"C16H16N2$M+H",1
"326",1170,1175,276.08195,"C12H18ClNO2S$M+H",1
"327",1175,1205,230.1167,"C9H16ClN5$M+H",1
"328",1187.5,1195,207.14919,"C12H18N2O$M+H",1
"329",1187.5,1217.5,284.14118,"C15H22ClNO2$M+H",1
"330",1202.5,1212.5,258.148,"C11H20ClN5$M+H",1
"331",1205,1235,230.1167,"C9H16ClN5$M+H",1
"332",1212.5,1237.5,155.04677,"C4H11O4P$M+H",1
"333",1215,1245,267.17197,"C12H27O4P$M+H",1
"334",1217.5,1225,196.02491,"C9H9NS2$M+H",1
"335",1217.5,1242.5,211.10937,"C8H19O4P$M+H",1
"336",1225,1235,269.17607,"C16H20N4$M+H",1
"337",1235,1265,230.1167,"C9H16ClN5$M+H",1
"338",1245,1252.5,192.13829,"C12H17NO$M+H",1
"339",1250,1257.5,318.10221,"C15H21Cl2NO2$M+H",1
"340",1257.5,1265,114.9712,"C2H4Cl2O$M+H",1
"341",1262.5,1267.5,207.14919,"C12H18N2O$M+H",1
"342",1265,1295,230.1167,"C9H16ClN5$M+H#C9H16ClN5$M+H#C9H16ClN5$M+H",1
"343",1267.5,1272.5,284.14118,"C15H22ClNO2$M+H",1
"344",1297.5,1305,297.19614,"C19H24N2O$M+H",1
"345",1302.5,1315,230.1167,"C9H16ClN5$M+H",1
"346",1307.5,1325,114.9712,"C2H4Cl2O$M+H",1
"347",1327.5,1335,230.1167,"C9H16ClN5$M+H",1
"348",1352.5,1365,230.1167,"C9H16ClN5$M+H",1
"349",1380,1385,230.1167,"C9H16ClN5$M+H",1
"350",1390,1395,269.24751,"C17H32O2$M+H",1
"351",1392.5,1405,349.93356,"C9H11Cl3NO3PS$M+H",1
"352",1557.5,1562.5,431.33672,"C24H46O6$M+H",1
"353",1610,1620,173.13248,"C13H16$M+H",1
"354",1612.5,1620,372.09971,"C20H18ClNO4$M+H",1
"355",1667.5,1672.5,144.98158,"C2H6ClO3P$M+H",1
"356",1672.5,1677.5,227.15427,"C15H18N2$M+H",1
"357",62.5,92.5,288.9002,"C3H6INaO4S$M+H",2
"358",110,120,264.93653,"C4H3Na3O7S$M+H",2
"359",112.5,127.5,176.98644,"C3H7Cl3Si$M+H#C7H13Br$M+H",2
"360",112.5,125,182.98039,"C8H7Br$M+H",2
"361",112.5,120,187.05651,"C9H8F2O2$M+H",2
"362",117.5,122.5,166.98311,"C4H6O3S2$M+H",2
"363",122.5,127.5,211.98179,"C7H6BrN3$M+H",2
